Job Zone,Occupation,Data-level,Code,cps_code
5,Economists,Y,19-3011.00,1800
5,Environmental Economists,Y,19-3011.01,1800
5,Survey Researchers,Y,19-3022.00,1815
5,Industrial-Organizational Psychologists,Y,19-3032.00,1825
5,Clinical and Counseling Psychologists,Y,19-3033.00,1821
5,School Psychologists,Y,19-3034.00,1822
,"Psychologists, All Other",,19-3039.00,1825
5,Neuropsychologists,Y,19-3039.02,1825
5,Clinical Neuropsychologists,Y,19-3039.03,1825
5,Sociologists,Y,19-3041.00,1830
5,Urban and Regional Planners,Y,19-3051.00,1840
5,Anthropologists and Archeologists,Y,19-3091.00,1860
4,Geographers,Y,19-3092.00,1860
5,Historians,Y,19-3093.00,1860
5,Political Scientists,Y,19-3094.00,1860
,"Social Scientists and Related Workers, All Other",,19-3099.00,1860
4,Transportation Planners,Y,19-3099.01,1860
3,Agricultural Technicians,Y,19-4012.00,1900
3,Precision Agriculture Technicians,Y,19-4012.01,1900
3,Food Science Technicians,Y,19-4013.00,1900
4,Biological Technicians,Y,19-4021.00,1910
3,Chemical Technicians,Y,19-4031.00,1920
4,"Environmental Science and Protection Technicians, Including Health",Y,19-4042.00,1935
4,"Geological Technicians, Except Hydrologic Technicians",Y,19-4043.00,1935
3,Hydrologic Technicians,Y,19-4044.00,1935
3,Nuclear Technicians,Y,19-4051.00,1940
3,Nuclear Monitoring Technicians,Y,19-4051.02,1940
4,Social Science Research Assistants,Y,19-4061.00,1950
3,Forest and Conservation Technicians,Y,19-4071.00,1970
3,Forensic Science Technicians,Y,19-4092.00,1970
,"Life, Physical, and Social Science Technicians, All Other",,19-4099.00,1970
3,Quality Control Analysts,Y,19-4099.01,1970
4,Remote Sensing Technicians,Y,19-4099.03,1970
4,Occupational Health and Safety Specialists,Y,19-5011.00,1980
3,Occupational Health and Safety Technicians,Y,19-5012.00,1980
5,Substance Abuse and Behavioral Disorder Counselors,Y,21-1011.00,2001
5,"Educational, Guidance, and Career Counselors and Advisors",Y,21-1012.00,2002
5,Marriage and Family Therapists,Y,21-1013.00,2003
5,Mental Health Counselors,Y,21-1014.00,2004
4,Rehabilitation Counselors,Y,21-1015.00,2005
,"Counselors, All Other",,21-1019.00,2006
4,"Child, Family, and School Social Workers",Y,21-1021.00,2011
5,Healthcare Social Workers,Y,21-1022.00,2012
5,Mental Health and Substance Abuse Social Workers,Y,21-1023.00,2013
,"Social Workers, All Other",,21-1029.00,2014
4,Health Education Specialists,Y,21-1091.00,2025
4,Probation Officers and Correctional Treatment Specialists,Y,21-1092.00,2015
4,Social and Human Service Assistants,Y,21-1093.00,2016
4,Community Health Workers,Y,21-1094.00,2025
,"Community and Social Service Specialists, All Other",,21-1099.00,2025
5,Clergy,Y,21-2011.00,2040
4,"Directors, Religious Activities and Education",Y,21-2021.00,2050
,"Religious Workers, All Other",,21-2099.00,2060
5,Lawyers,Y,23-1011.00,2100
5,Judicial Law Clerks,Y,23-1012.00,2105
5,"Administrative Law Judges, Adjudicators, and Hearing Officers",Y,23-1021.00,2110
5,"Arbitrators, Mediators, and Conciliators",Y,23-1022.00,2110
5,"Judges, Magistrate Judges, and Magistrates",Y,23-1023.00,2110
3,Paralegals and Legal Assistants,Y,23-2011.00,2145
2,"Title Examiners, Abstractors, and Searchers",Y,23-2093.00,2170
,"Legal Support Workers, All Other",,23-2099.00,2180
5,"Business Teachers, Postsecondary",Y,25-1011.00,2205
5,"Computer Science Teachers, Postsecondary",Y,25-1021.00,2205
5,"Mathematical Science Teachers, Postsecondary",Y,25-1022.00,2205
5,"Architecture Teachers, Postsecondary",Y,25-1031.00,2205
5,"Engineering Teachers, Postsecondary",Y,25-1032.00,2205
5,"Agricultural Sciences Teachers, Postsecondary",Y,25-1041.00,2205
5,"Biological Science Teachers, Postsecondary",Y,25-1042.00,2205
5,"Forestry and Conservation Science Teachers, Postsecondary",Y,25-1043.00,2205
5,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Y,25-1051.00,2205
5,"Chemistry Teachers, Postsecondary",Y,25-1052.00,2205
5,"Environmental Science Teachers, Postsecondary",Y,25-1053.00,2205
5,"Physics Teachers, Postsecondary",Y,25-1054.00,2205
5,"Anthropology and Archeology Teachers, Postsecondary",Y,25-1061.00,2205
5,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Y,25-1062.00,2205
5,"Economics Teachers, Postsecondary",Y,25-1063.00,2205
5,"Geography Teachers, Postsecondary",Y,25-1064.00,2205
5,"Political Science Teachers, Postsecondary",Y,25-1065.00,2205
